brand,cartype,fueltype,enginesize,status,year,mileage,price
Tesla,Pickup,Hybrid,2.8,New,2024,0,43000
Toyota,Sedan,Electric,2.9,Certified,2019,211016,7949
Mercedes,Convertible,Diesel,2.2,Used,2006,61254,18937
Toyota,SUV,Hybrid,3.4,Certified,2003,139196,5000
Ford,Sedan,Petrol,2.2,Certified,2023,27675,17616
Toyota,Pickup,Electric,3.1,Used,2017,134995,10750
Kia,SUV,Electric,4.4,Used,2010,237137,5143
BMW,Coupe,Hybrid,2.7,Used,2008,243497,14325
Kia,Sedan,Electric,1.1,Certified,2007,12917,5000
Audi,SUV,Hybrid,2.6,Used,2022,174328,31283
BMW,SUV,Hybrid,3.8,New,2024,0,48000
Audi,Pickup,Electric,4.2,Certified,2004,203235,19838
Audi,Convertible,Petrol,2.9,Used,2023,40735,40463
Audi,Hatchback,Petrol,2.4,Used,2001,163860,9807
Hyundai,SUV,Diesel,3.1,New,2024,0,24500
Tesla,SUV,Electric,4.5,Used,2009,9795,36010
Mercedes,Convertible,Hybrid,2.2,Used,2015,94855,26257
Toyota,Convertible,Petrol,2.8,New,2024,0,23000
Kia,Sedan,Diesel,2.1,Used,2020,130711,8964
Toyota,Sedan,Petrol,2.8,New,2024,0,23000
Toyota,SUV,Diesel,4.8,New,2024,0,33000
Toyota,SUV,Petrol,3.3,New,2024,0,25500
Volkswagen,Coupe,Electric,1.7,New,2024,0,17500
Volkswagen,Convertible,Hybrid,2.4,Used,2004,162574,5000
Hyundai,Hatchback,Petrol,1.4,Certified,2012,29606,5000
Ford,Hatchback,Electric,1.5,New,2024,0,16500
Volkswagen,Coupe,Petrol,1.7,Used,2019,52715,9864
Volkswagen,Convertible,Diesel,1.3,Used,2000,132629,5000
Toyota,Convertible,Electric,2.0,New,2024,0,19000
Mercedes,Sedan,Hybrid,2.8,Certified,2014,136632,26168
Hyundai,Pickup,Diesel,3.8,Used,2020,238279,12086
Volkswagen,Pickup,Petrol,3.4,Used,2022,226962,12651
Audi,SUV,Diesel,4.7,Certified,2002,234357,18782
Mercedes,Sedan,Diesel,2.7,Used,2020,220041,27497
Hyundai,Pickup,Petrol,3.9,Certified,2015,75344,15732
Volkswagen,Pickup,Electric,3.1,New,2024,0,24500
Tesla,Coupe,Electric,2.7,Certified,2006,126537,18173
BMW,SUV,Petrol,2.9,New,2024,0,43500
Mercedes,Sedan,Petrol,2.0,Used,2003,173440,9328
Mercedes,Convertible,Electric,1.4,Used,2010,144181,14790
BMW,Pickup,Electric,2.7,Used,2023,118715,35564
BMW,Convertible,Diesel,1.0,New,2024,0,34000
Toyota,Pickup,Petrol,3.5,Used,2010,248960,5000
Ford,Hatchback,Petrol,2.8,Used,2015,223544,5000
BMW,Hatchback,Diesel,1.9,Used,2020,86425,30178
Toyota,Coupe,Electric,1.4,New,2024,0,16000
Kia,Convertible,Petrol,1.3,Certified,2018,230333,5000
Hyundai,Coupe,Petrol,1.3,Used,2008,229833,5000
Honda,Convertible,Diesel,2.6,Certified,2010,15332,7233
Kia,Coupe,Hybrid,1.6,Certified,2000,49137,5000
Tesla,SUV,Hybrid,3.9,New,2024,0,48500
Tesla,Hatchback,Petrol,1.9,Used,2002,70105,12994
Volkswagen,SUV,Petrol,4.1,New,2024,0,29500
Toyota,Sedan,Hybrid,1.4,Used,2011,3676,5000
Audi,Convertible,Diesel,2.5,Used,2017,17163,33641
Toyota,Pickup,Petrol,4.7,New,2024,0,32500
Volkswagen,SUV,Diesel,4.3,New,2024,0,30500
Honda,Pickup,Electric,3.0,Certified,2020,56967,17151
Toyota,SUV,Hybrid,2.7,Used,2004,107616,5000
Kia,Hatchback,Diesel,1.9,Certified,2020,143121,7343
Mercedes,Sedan,Petrol,2.6,Used,2013,208640,20568
Kia,Coupe,Electric,2.8,Used,2022,147523,13623
Honda,Coupe,Diesel,2.9,Certified,2000,64874,5000
Tesla,Convertible,Electric,2.6,Used,2023,5400,40730
Hyundai,Convertible,Diesel,1.3,New,2024,0,15500
Ford,Sedan,Petrol,2.4,Used,2020,135336,10233
Volkswagen,Coupe,Petrol,1.7,New,2024,0,17500
Kia,SUV,Electric,4.2,New,2024,0,30000
Toyota,Coupe,Diesel,1.6,Certified,2016,106000,5000
BMW,Coupe,Electric,2.2,Certified,2010,125642,19717
Volkswagen,Hatchback,Petrol,2.6,Used,2011,164162,5000
Mercedes,Convertible,Petrol,2.6,New,2024,0,42000
Ford,Coupe,Hybrid,2.1,Certified,2007,11066,5000
BMW,Convertible,Hybrid,2.2,Used,2000,32958,14352
Hyundai,Convertible,Hybrid,2.3,New,2024,0,20500
Hyundai,SUV,Hybrid,4.7,Used,2008,190754,6962
Tesla,Convertible,Diesel,1.5,Certified,2016,212225,17888
Volkswagen,Hatchback,Petrol,1.8,Used,2011,92458,5000
Ford,Pickup,Hybrid,3.4,New,2024,0,26000
Audi,Convertible,Hybrid,2.5,Used,2012,211054,18947
Volkswagen,Hatchback,Electric,1.0,New,2024,0,14000
Toyota,Sedan,Diesel,2.6,Used,2012,95481,5225
Audi,Convertible,Hybrid,2.1,Used,2016,207632,21118
BMW,Convertible,Hybrid,1.9,New,2024,0,38500
Toyota,Hatchback,Electric,2.2,Certified,2000,17795,5000
Kia,Pickup,Electric,2.9,New,2024,0,23500
Honda,SUV,Electric,3.8,Used,2004,208033,5000
Volkswagen,SUV,Diesel,2.7,Used,2012,6245,10187
Audi,Sedan,Electric,2.8,New,2024,0,43000
Audi,Pickup,Diesel,3.5,New,2024,0,46500
Audi,Sedan,Diesel,1.6,Used,2002,196482,5175
Mercedes,Coupe,Petrol,2.8,New,2024,0,43000
Hyundai,Hatchback,Electric,1.5,New,2024,0,16500
Hyundai,SUV,Hybrid,3.1,Certified,2021,35503,19724
Ford,Hatchback,Electric,2.5,New,2024,0,21500
Volkswagen,Sedan,Hybrid,2.8,Certified,2004,82853,5000
Volkswagen,Pickup,Petrol,2.8,New,2024,0,23000
Ford,Convertible,Petrol,1.6,New,2024,0,17000
BMW,Convertible,Electric,3.0,Certified,2021,147832,33608
Hyundai,Pickup,Hybrid,2.8,New,2024,0,23000
Toyota,Convertible,Diesel,1.5,Used,2000,25959,5000
Ford,Pickup,Hybrid,4.6,Certified,2023,85858,26707
Ford,Sedan,Petrol,2.9,Certified,2008,30836,5958
Tesla,Convertible,Petrol,2.6,Certified,2017,63549,31822
Mercedes,Hatchback,Petrol,2.5,Used,2010,214093,16795
Toyota,SUV,Electric,4.4,Used,2021,60566,24971
Tesla,Sedan,Petrol,1.7,New,2024,0,37500
Kia,Hatchback,Hybrid,1.4,New,2024,0,16000
Kia,Hatchback,Electric,2.7,Certified,2001,231988,5000
Honda,Pickup,Diesel,3.6,New,2024,0,27000
Hyundai,Sedan,Electric,1.4,Certified,2009,48488,5000
Ford,Coupe,Hybrid,1.6,New,2024,0,17000
Toyota,Pickup,Diesel,2.7,Used,2012,183923,5000
Ford,Sedan,Diesel,2.8,New,2024,0,23000
Toyota,SUV,Diesel,3.4,New,2024,0,26000
BMW,Sedan,Hybrid,2.1,Used,2006,31883,19905
Kia,Convertible,Electric,1.2,Used,2005,33228,5000
Toyota,Sedan,Petrol,2.1,Used,2005,123728,5000
Kia,Pickup,Diesel,4.3,Certified,2006,62826,9358
Hyundai,Convertible,Hybrid,2.7,Used,2008,56048,5000
Kia,Convertible,Electric,1.2,Certified,2023,94833,9258
BMW,Pickup,Hybrid,3.7,Certified,2000,212142,12892
Honda,Coupe,Hybrid,1.9,New,2024,0,18500
Honda,Coupe,Hybrid,2.1,New,2024,0,19500
Hyundai,Coupe,Hybrid,1.9,Used,2023,40277,15486
Audi,Sedan,Electric,1.6,Used,2001,172391,5380
Honda,Hatchback,Electric,1.5,New,2024,0,16500
Toyota,Coupe,Hybrid,2.9,New,2024,0,23500
Toyota,Convertible,Electric,2.3,New,2024,0,20500
Honda,Hatchback,Hybrid,1.5,Certified,2022,184775,5261
Kia,Coupe,Electric,1.0,Certified,2007,89409,5000
Tesla,Pickup,Petrol,3.8,Used,2023,1321,46933
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
Audi,Sedan,Petrol,2.0,Used,2019,41000,27500
Mercedes,SUV,Diesel,3.0,Used,2021,28000,59000
Toyota,Sedan,Petrol,2.5,Used,2021,45000,24500
Ford,SUV,Petrol,3.5,Used,2019,62000,28900
BMW,Sedan,Diesel,3.0,Used,2018,58000,31200
Audi,SUV,Hybrid,2.0,New,2024,150,52000
Mercedes,Coupe,Petrol,4.0,Used,2020,34000,68500
Honda,Sedan,Petrol,1.5,Used,2017,89000,16500
Tesla,Sedan,Electric,0.0,Used,2022,12000,41000
Hyundai,Hatchback,Petrol,1.6,Used,2016,95000,11200
Kia,SUV,Diesel,2.2,Used,2021,32000,29800
Volkswagen,Hatchback,Petrol,2.0,Used,2015,110000,14500
Toyota,Pickup,Diesel,2.8,Used,2020,55000,36000
Ford,Pickup,Petrol,5.0,New,2024,50,65000
BMW,SUV,Hybrid,3.0,Used,2022,15000,72000
